Id,Dạng bài,Khối,Chủ đề,Câu hỏi,Đáp án A,Đáp án B,Đáp án C,Đáp án D,Đáp án đúng,Giải thích,Cấp độ,Ảnh (IMAGE),Check,Check đã sửa,imgUrl,funExplanation,seriousExplanation
q6_001,quiz,6,My New School,She ___ to school every day.,go,goes,going,gone,B,"Với chủ ngữ ngôi thứ 3 số ít (he/she/it), động từ thường phải thêm '-s' hoặc '-es' ở thì hiện tại đơn.",Dễ,,,ĐÚNG,,"'Goes' thôi nha, 'she' mà dùng 'go' là bị cô giáo gạch đỏ ngay ","Với chủ ngữ ngôi thứ 3 số ít (he/she/it) ở thì hiện tại đơn, động từ thường thêm '-s' hoặc '-es': go → goes."
q6_002,image-quiz,6,Natural Wonders,What is this animal?,Dog,Cat,Bird,Fish,B,Đây là hình ảnh một con mèo.,Dễ,=IMAGE("https://i.imgur.com/example.jpg"),,ĐÚNG,https://i.imgur.com/example.jpg,"Meo meo — đương nhiên là Cat rồi, không thể 'dog' được đâu nha! ","Hình ảnh minh họa một con mèo (cat), loài động vật có vú được nuôi phổ biến làm thú cưng."
q6_003,complete,6,My New School,My brother ___ (play) football every Sunday.,play,plays,playing,played,B,"Present simple dùng cho thói quen. 'Every Sunday' là dấu hiệu nhận biết.",Dễ,,,ĐÚNG,,"'Every Sunday' = thói quen mỗi tuần → hiện tại đơn → 'plays' cho ngôi 3 số ít! ","Thì hiện tại đơn diễn tả thói quen; 'every Sunday' là dấu hiệu nhận biết, và 'brother' là ngôi 3 số ít nên động từ thêm '-s': plays."
q6_004,odd-one,6,My New School,Which word has different stress pattern?,student,teacher,begin,doctor,C,"'Begin' nhấn âm thứ 2 (/bɪˈɡɪn/), còn lại nhấn âm thứ 1.",Trung bình,,,ĐÚNG,,"'Begin' mới là 'kẻ lạc loài' vì nó nhấn âm sau, còn cả nhóm kia đều nhấn âm đầu! ","'Begin' có trọng âm ở âm tiết thứ 2 (/bɪˈɡɪn/), trong khi student, teacher và doctor đều có trọng âm ở âm tiết thứ 1."
q7_001,quiz,7,Hobbies,I enjoy ___ music in my free time.,listen,listens,listening,listened,C,"Sau động từ 'enjoy' phải dùng V-ing (gerund).",Dễ,,,ĐÚNG,,"Sau 'enjoy' bắt buộc phải là V-ing — nghe nhạc mà dùng sai thì không 'enjoy' được đâu nha! ","Động từ 'enjoy' thuộc nhóm verbs followed by gerund, bắt buộc đứng sau phải là V-ing: enjoy listening."
q7_002,error-finding,7,Healthy Living,She don't like coffee.,She,don't,like,coffee,B,"'Don't' sai; với chủ ngữ ngôi 3 số ít phải dùng 'doesn't'.",Dễ,,,ĐÚNG,,"'Don't' với 'she' là combo sai kinh điển — nhớ dùng 'doesn't' nha bạn ơi! ","Với chủ ngữ ngôi thứ 3 số ít (she/he/it) ở thì hiện tại đơn, trợ động từ phủ định phải là 'doesn't', không phải 'don't'."
q8_001,complete,8,Lifestyles,"If I ___ (be) you, I would study harder.",am,was,were,is,C,"Câu điều kiện loại 2 dùng 'were' cho tất cả các ngôi trong mệnh đề if.",Trung bình,,,ĐÚNG,,"Câu điều kiện loại 2 thì 'were' cho tất cả — kể cả 'I' cũng phải là 'were' nhé! ","Câu điều kiện loại 2 (giả định không có thật ở hiện tại) dùng past subjunctive trong mệnh đề if; với động từ 'to be', dùng 'were' cho tất cả các ngôi."
q8_002,reorder,8,Lifestyles,Rearrange: always / She / early / up / gets,She always gets up early,Always she gets up early,She gets always up early,She gets up always early,A,"Trạng từ tần suất (always/usually/often) đứng trước động từ thường.",Khó,,,ĐÚNG,,"'Always' là tên trật tự: đứng TRƯỚC động từ thường, đừng để nó lang thang cuối câu! ","Trạng từ tần suất (always, usually, often, never…) đứng trước động từ thường và sau động từ to be: She always gets up early."
q9_001,quiz,9,City Life,The city ___ a lot since I was a child.,changed,has changed,is changing,changes,B,"'Since' là dấu hiệu của thì hiện tại hoàn thành.",Trung bình,,,ĐÚNG,,"Thấy 'since' là nhớ ngay hiện tại hoàn thành — thành phố đã thay đổi từ hồi còn nhỏ đến giờ! ","'Since' chỉ thời điểm bắt đầu hành động kéo dài đến hiện tại, đòi hỏi thì hiện tại hoàn thành (have/has + V3): has changed."
q10_001,word-form,10,Environment,Environmental ___ (protect) is everyone's responsibility.,protect,protection,protective,protector,B,"Sau tính từ 'Environmental' cần danh từ. 'Protection' là dạng danh từ của 'protect'.",Khó,,,ĐÚNG,,"'Environmental' là tính từ → cần danh từ theo sau → 'protection' chính là nó! ","Sau tính từ 'environmental' cần danh từ làm chủ ngữ; 'protection' là danh từ được tạo bằng hậu tố '-tion' từ động từ 'protect'."
q11_001,quiz,11,Generation Gap,"If she ___ harder, she would have passed the exam.",studied,had studied,has studied,studies,B,"Câu điều kiện loại 3: mệnh đề if dùng past perfect (had + V3).",Chuyên gia,,,ĐÚNG,,"Loại 3 = tiếc nuối quá khứ → 'had studied' trong if, 'would have passed' ở mệnh đề chính! ","Câu điều kiện loại 3 diễn tả điều không có thật trong quá khứ; mệnh đề if dùng past perfect (had + V3): had studied."
q12_001,error-finding,12,Cultural Identity,Despite of the rain we went out.,Despite,of,the,rain,B,"'Despite' không đi với 'of'. Đúng là 'Despite the rain' hoặc 'In spite of the rain'.",Chuyên gia,,,ĐÚNG,,"'Despite of' là lỗi cực phổ biến — nhớ: 'despite' đứng một mình, 'in spite OF' mới có 'of'! ","'Despite' là giới từ dùng độc lập (Despite the rain), không kết hợp với 'of'; chỉ 'in spite of' mới có 'of' theo sau."
